soecues,mass_gm,Cell type,cell_number,Source
Cavia porcellus,4.80E+02,superior cervical ganglion neurons,3.85E+04,"[Purves, 1986]"
Oryctolagus cuniculus,1.60E+03,superior cervical ganglion neurons,3.91E+04,"[Purves, 1986]"
Oryctolagus cuniculus,1.60E+03,superior cervical ganglion neurons,3.95E+04,"[Purves, 1986]"
Oryctolagus cuniculus,1.65E+03,superior cervical ganglion neurons,3.55E+04,"[Purves, 1986]"
Oryctolagus cuniculus,1.70E+03,superior cervical ganglion neurons,4.80E+04,"[Purves, 1986]"
Hydrochaeris hydrochaeris,4.00E+04,superior cervical ganglion neurons,1.41E+06,"[Ribeiro, 2004]"
Hydrochaeris hydrochaeris,4.00E+04,superior cervical ganglion neurons,1.61E+06,"[Ribeiro, 2004]"
Hydrochaeris hydrochaeris,4.50E+04,superior cervical ganglion neurons,1.53E+06,"[Ribeiro, 2004]"
Equus caballus,1.25E+05,superior cervical ganglion neurons,3.78E+06,"[Ribeiro, 2004]"
Equus caballus,2.00E+05,superior cervical ganglion neurons,3.19E+06,"[Ribeiro, 2004]"
Equus caballus,3.15E+05,superior cervical ganglion neurons,3.21E+06,"[Ribeiro, 2004]"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
