time (s),DL Filtering Design 1,DL Filtering Design 2,DL Filtering Design 3,DL Filtering Design 4,DL Filtering Design 5,DL Filtering Design 6,DL Filtering Design 7,ProteinMPNN Design 1
12.2,0.03597803,0.0454208,0.0431414,0.03866673,0.03800195,0.04245278,0.03413076,0.03614158
12.4,0.03630703,0.04930606,0.04248129,0.03857391,0.03018991,0.03940311,0.03657006,0.03177938
12.6,0.03812755,0.04596546,0.04088136,0.04351757,0.03672462,0.04120704,0.03061276,0.03709598
12.8,0.03441035,0.04524255,0.0467328,0.03720384,0.03513828,0.04302523,0.03697725,0.0386911
13,0.0376011,0.04364847,0.04668897,0.04367323,0.03700131,0.04150546,0.03690326,0.0335004
13.2,0.038504,0.0455033,0.0457183,0.03900838,0.04172993,0.03947749,0.03810592,0.03321562
13.4,0.03515167,0.04850397,0.04131123,0.04092005,0.04199104,0.04115754,0.03847231,0.04108425
13.6,0.0377127,0.04245225,0.04825493,0.04046431,0.04071501,0.0409432,0.04096169,0.0361621
13.8,0.04148313,0.04814678,0.04733833,0.04187886,0.03304062,0.04486821,0.04112964,0.03634096
14,0.03994611,0.0428357,0.04251841,0.03785012,0.03506118,0.04536187,0.0399882,0.04459108
14.2,0.0379659,0.04466267,0.04484427,0.04085927,0.04199435,0.04451467,0.03551704,0.03538409
14.4,0.03673816,0.04473232,0.04765545,0.03945886,0.03919115,0.04157995,0.04035861,0.03918368
14.6,0.03459713,0.04516739,0.04887014,0.04062203,0.03857667,0.03971274,0.03706051,0.03866868
14.8,0.0360186,0.05099808,0.05183354,0.04437581,0.04103864,0.04876631,0.0422842,0.03997817
15,0.03551052,0.04948046,0.05370653,0.04460698,0.0372423,0.04790129,0.0454634,0.03932482
15.2,0.03977049,0.04841817,0.04720255,0.04395109,0.03943214,0.04144182,0.04163289,0.04147118
15.4,0.0384013,0.04807063,0.04525761,0.04684593,0.04082781,0.04719036,0.0452033,0.04491847
15.6,0.04080044,0.0477023,0.05227941,0.0432769,0.04087441,0.04410381,0.04212778,0.03974616
15.8,0.03789673,0.04700021,0.05096496,0.04470781,0.04010095,0.0444684,0.03979893,0.04438361
16,0.04409509,0.05270139,0.05031636,0.04496549,0.04339326,0.04591563,0.04287146,0.04405813
16.2,0.03916458,0.0512177,0.05503458,0.04424905,0.03930639,0.04261915,0.04021288,0.04317508
16.4,0.04143344,0.04796364,0.04686549,0.04800859,0.04195199,0.04447803,0.04192012,0.04934051
16.6,0.04206554,0.05264102,0.05327829,0.04780329,0.04310771,0.04457947,0.04158086,0.04288667
16.8,0.03737907,0.04760848,0.04716451,0.04347249,0.04469236,0.0534659,0.04331199,0.0464462
17,0.04238393,0.04483071,0.05004055,0.04966323,0.03877152,0.04852586,0.0458879,0.04146731
17.2,0.04389228,0.05269001,0.05030135,0.04058825,0.03958016,0.04592493,0.04215857,0.04363491
17.4,0.03890877,0.05131498,0.047084,0.04375606,0.04445226,0.04935844,0.04717368,0.04221783
17.6,0.04035322,0.05304695,0.0480849,0.0468023,0.03941533,0.05067469,0.04168179,0.04363466
17.8,0.04050961,0.04872463,0.05418719,0.0451493,0.04351683,0.04593695,0.04548351,0.04853013
18,0.04108995,0.05024109,0.05165015,0.04244956,0.03913002,0.04920736,0.04558555,0.04335899
18.2,0.04387601,0.05256167,0.05653541,0.04535408,0.03802937,0.04797228,0.04211794,0.04434
18.4,0.0440151,0.05047598,0.05268386,0.05031598,0.03973862,0.04588763,0.04231612,0.04432546
18.6,0.04157654,0.05235863,0.05061156,0.04888233,0.04006051,0.04830706,0.04389481,0.04764415
18.8,0.04301267,0.05202549,0.05436503,0.04709153,0.04181777,0.05283541,0.04590781,0.04272416
19,0.0423436,0.05465967,0.05388051,0.05006836,0.04183033,0.04879058,0.04110456,0.05155178
19.2,0.04205277,0.05206203,0.05734885,0.04698509,0.04299533,0.04665685,0.04694347,0.04703302
19.4,0.04437264,0.05271589,0.05362217,0.05190304,0.04272652,0.04665133,0.04758274,0.045958
19.6,0.04204451,0.05304628,0.05255745,0.04666721,0.04219333,0.0470886,0.04820305,0.0470845
19.8,0.04503286,0.0525611,0.05682126,0.04827717,0.03986027,0.05086581,0.04698875,0.04726405
20,0.04828889,0.05345667,0.0541396,0.04700004,0.0415732,0.05046156,0.04795417,0.04498055
20.2,0.0406746,0.05419587,0.06064259,0.0469447,0.03994348,0.05177384,0.04868966,0.04870949
20.4,0.04487683,0.0575887,0.05567874,0.05102265,0.04602979,0.04998548,0.04262658,0.04797799
20.6,0.0425753,0.0545221,0.05121707,0.05631858,0.04613082,0.05386478,0.04698718,0.04436539
20.8,0.04459459,0.06158702,0.05422059,0.04876232,0.04507202,0.0517814,0.04602299,0.0448664
21,0.04295305,0.05685341,0.06153828,0.05101122,0.04750346,0.05378139,0.04688786,0.04719094
21.2,0.0430202,0.05248059,0.05528313,0.04560311,0.04421918,0.05274156,0.04835402,0.04727626
21.4,0.04434287,0.05970253,0.05331216,0.05255453,0.04454833,0.04866864,0.05001698,0.05051135
21.6,0.04411167,0.05974348,0.0549752,0.05265886,0.04788794,0.05350626,0.05066747,0.04795896
21.8,0.04768948,0.05254889,0.06019876,0.05612926,0.04428706,0.05509571,0.05268473,0.04817953
22,0.0461925,0.05535846,0.05569255,0.05113087,0.04417789,0.05277486,0.0485034,0.04715898
22.2,0.04432459,0.05574387,0.05488113,0.05249054,0.04770986,0.05176598,0.05020655,0.04973406
22.4,0.04465509,0.053357,0.06146797,0.05422601,0.04454188,0.05323399,0.04633607,0.04810018
22.6,0.04449098,0.05928396,0.06225124,0.05493077,0.04632558,0.05460373,0.05354086,0.05112269
22.8,0.04911613,0.05555312,0.05625619,0.05320895,0.04611389,0.05324629,0.05075451,0.05052124
23,0.04831412,0.05554523,0.05809125,0.05308802,0.044406,0.05121016,0.04714272,0.04908954
23.2,0.04698789,0.05903398,0.05776343,0.0561812,0.04363403,0.05423866,0.0503896,0.04686768
23.4,0.04231892,0.06340349,0.05754321,0.05281499,0.04550668,0.05323359,0.04667934,0.04848629
23.6,0.04872317,0.0592161,0.06126561,0.04972324,0.04543864,0.04952267,0.05074163,0.05045243
23.8,0.04621956,0.05717936,0.05597203,0.0546187,0.04717246,0.05310847,0.04923468,0.05188165
24,0.04951815,0.06073752,0.05761529,0.05370732,0.04360064,0.05935696,0.05099514,0.05214774
24.2,0.04815238,0.06018334,0.06236476,0.05795955,0.04520568,0.05355904,0.05050253,0.04951143
24.4,0.04529211,0.06400532,0.06296042,0.05206453,0.0490208,0.05735157,0.0486172,0.05552978
24.6,0.04870285,0.06119167,0.05676748,0.05644194,0.04691324,0.05864941,0.04922953,0.04827725
24.8,0.05016823,0.05763857,0.05922462,0.06070152,0.04862077,0.05740228,0.05592182,0.05057977
25,0.0476904,0.06236254,0.0620148,0.05958628,0.0459642,0.05310307,0.05203068,0.05251572
25.2,0.05334748,0.05933977,0.06469744,0.05766787,0.04714292,0.05552076,0.04968398,0.05301248
25.4,0.04771606,0.06473473,0.06511445,0.05438581,0.04647001,0.06052564,0.04779634,0.05225496
25.6,0.04800728,0.06458966,0.0646334,0.05561185,0.04697834,0.05442098,0.05149725,0.05358991
25.8,0.04960979,0.06345907,0.05940188,0.05168049,0.04857241,0.05475183,0.0548818,0.05353238
26,0.04577763,0.06125068,0.0628356,0.05232558,0.04695507,0.05887595,0.05208847,0.05127424
26.2,0.04804659,0.0608473,0.06135789,0.05707333,0.05055148,0.05603688,0.04931971,0.05562967
26.4,0.04765122,0.06384439,0.06190285,0.05800644,0.0458928,0.0604546,0.05305293,0.04978725
26.6,0.05162433,0.06474841,0.06462923,0.05990625,0.04788041,0.05609675,0.05218058,0.05482905
26.8,0.05213225,0.06152477,0.06311569,0.05696613,0.05378968,0.05917281,0.05347149,0.05677254
27,0.05236367,0.0645576,0.06505155,0.05267445,0.04858369,0.05498311,0.05407207,0.05417656
27.2,0.05392718,0.06436943,0.06466006,0.05942988,0.05235321,0.05744059,0.05209127,0.05347299
27.4,0.05037596,0.06309058,0.0626317,0.06136429,0.04817541,0.05774527,0.05394118,0.05761227
27.6,0.04725615,0.05943612,0.06565864,0.05919525,0.04766283,0.05940751,0.05347744,0.05751232
27.8,0.04880327,0.06842799,0.06443218,0.05509909,0.05078735,0.06068614,0.05541398,0.0527134
28,0.04839048,0.06140772,0.06454479,0.057245,0.04876474,0.06360374,0.05177753,0.05816814
28.2,0.05469403,0.06566521,0.0682065,0.06286123,0.05327576,0.05473122,0.04954822,0.05719838
28.4,0.05192889,0.06302655,0.06289473,0.05589736,0.05043633,0.0569027,0.05515577,0.05610083
28.6,0.04715972,0.06530792,0.06736311,0.05714551,0.05109378,0.05707094,0.05632571,0.06004161
28.8,0.04856765,0.05951219,0.06222581,0.05908356,0.0507112,0.05748406,0.05229892,0.05850448
29,0.04912653,0.06439723,0.06502839,0.05823324,0.04772189,0.06129658,0.05408439,0.05708516
29.2,0.04964849,0.06805732,0.06445505,0.05718264,0.05491698,0.06282117,0.05135174,0.05703619
29.4,0.04603023,0.06812013,0.0668644,0.06021465,0.05181195,0.05462561,0.05656416,0.05495564
29.6,0.05172198,0.06619246,0.06488062,0.05988656,0.04919489,0.06201291,0.05988584,0.05762787
