DepMap ID,BUB1_expression,BUB3_expression,Cell Line Name,Primary Disease,Lineage
ACH-000365,5.523561956,7.001014038,SUDHL4,Lymphoma,Lymphocyte
ACH-001431,5.307428525,6.930973826,TC205,Bone Cancer,Bone
ACH-000475,4.694880193,6.933690655,HUH1,Liver Cancer,Liver
ACH-000860,5.979339446,7.1958397,NCIH358,Lung Cancer,Lung
ACH-000074,5.672142433,7.031329024,KU812,Leukemia,Blood
ACH-000377,5.283551423,8.091646948,SNU478,Bile Duct Cancer,Bile Duct
ACH-001562,3.875780063,7.048541366,MERO95,Lung Cancer,Lung
ACH-002475,6.078097423,7.933454612,HAP1,Engineered,Engineered Blood
ACH-000259,3.883620816,7.392660881,KELLY,Neuroblastoma,Peripheral Nervous System
ACH-001388,0.137503524,2.841973119,SUM102PT,Breast Cancer,Breast
ACH-001410,5.537917249,6.992315252,UMUC4,Bladder Cancer,Urinary Tract
ACH-002025,4.478324711,6.664198369,TT1TKB,Colon/Colorectal Cancer,Colorectal
ACH-000720,3.589763487,7.44625623,TCCSUP,Bladder Cancer,Urinary Tract
ACH-000095,5.067380578,7.083638879,D341,Brain Cancer,Central Nervous System
ACH-001345,5.050501697,7.455984709,GP5D,Colon/Colorectal Cancer,Colorectal
ACH-000558,6.172327492,6.913727173,A172,Brain Cancer,Central Nervous System
ACH-000664,5.487357715,6.989366114,SUDHL1,Lymphoma,Lymphocyte
ACH-000177,6.053980168,7.828136484,NCIH660,Prostate Cancer,Prostate
ACH-000335,5.85623876,7.83307983,MSTO211H,Lung Cancer,Lung
ACH-000940,5.651625784,7.973094623,AN3CA,Endometrial/Uterine Cancer,Uterus
ACH-000631,5.771885579,8.016975386,KS1,Brain Cancer,Central Nervous System
ACH-000207,5.363871925,6.715069679,DETROIT562,Head and Neck Cancer,Upper Aerodigestive
ACH-000764,5.455491621,7.470292816,SH10TC,Gastric Cancer,Gastric
ACH-000995,5.78633498,7.763145958,JURKAT,Leukemia,Blood
ACH-000373,5.302319051,7.524345816,SKM1,Leukemia,Blood
ACH-000953,6.730232357,8.448653214,SUPT1,Leukemia,Blood
ACH-000709,4.388189537,6.827056837,KMRC2,Kidney Cancer,Kidney
ACH-000846,5.554588852,7.887281552,FADU,Head and Neck Cancer,Upper Aerodigestive
ACH-001702,5.244506551,6.391114676,VAESBJ,Sarcoma,Soft Tissue
ACH-000333,4.698218478,7.610803395,JHOM2B,Ovarian Cancer,Ovary
ACH-002059,6.619266268,8.95096408,P30OHK,Leukemia,Blood
ACH-000929,4.581953751,7.411680458,NCIH2110,Lung Cancer,Lung
ACH-001395,1.929790998,4.865423978,SUM44PE,Breast Cancer,Breast
ACH-000948,5.34091827,7.223519087,2313287,Gastric Cancer,Gastric
ACH-002015,4.085764554,7.602884409,MEL285,Eye Cancer,Eye
ACH-000981,6.541483864,8.014690038,DND41,Leukemia,Blood
ACH-000617,5.420886575,6.840463234,OVCAR4,Ovarian Cancer,Ovary
ACH-000311,4.206330648,7.460333021,NCIH2122,Lung Cancer,Lung
ACH-001210,6.146084939,7.705217661,TTC1240,Rhabdoid,Soft Tissue
ACH-001834,5.554895775,8.708187236,ICC10,Bile Duct Cancer,Bile Duct
ACH-000390,5.426264755,7.422569411,LUDLU1,Lung Cancer,Lung
ACH-000468,5.769771739,8.057721023,PK45H,Pancreatic Cancer,Pancreas
ACH-001061,5.785550552,7.174526265,DLD1,Colon/Colorectal Cancer,Colorectal
ACH-000077,6.191207302,8.009548727,MJ,Lymphoma,Lymphocyte
ACH-000456,2.625270489,7.114262901,BCPAP,Thyroid Cancer,Thyroid
ACH-000496,5.845991771,7.499048598,NCIH1792,Lung Cancer,Lung
ACH-002512,5.196921734,7.076601849,MM1610113,Skin Cancer,Skin
ACH-000062,5.291677223,7.323099809,RERFLCMS,Lung Cancer,Lung
ACH-002464,4.725195817,7.717196587,RPE1SS6,Engineered,Engineered
ACH-000088,4.745775149,6.620879611,HS172T,Fibroblast,Fibroblast
ACH-000536,5.986183363,6.520579396,BT20,Breast Cancer,Breast
ACH-000071,5.776893569,8.371950846,HS706T,Fibroblast,Fibroblast
ACH-002004,4.596338864,6.114158769,UACC62SKINCJ1,Skin Cancer,Skin
ACH-000878,6.53496425,8.324270572,HCC15,Lung Cancer,Lung
ACH-001380,4.011674533,6.406502657,PACADD165,Pancreatic Cancer,Pancreas
ACH-000385,5.114367025,7.27668276,SKRC20,Kidney Cancer,Kidney
ACH-000412,5.117695043,6.746850183,SNU1197,Colon/Colorectal Cancer,Colorectal
ACH-000427,5.48123435,7.321747747,NCIN87,Gastric Cancer,Gastric
ACH-000938,6.533251852,8.06010144,NALM6,Leukemia,Blood
ACH-000462,5.860217925,8.12763328,NALM1,Leukemia,Blood
ACH-000939,6.337889456,8.239884892,SKUT1,Sarcoma,Soft Tissue
ACH-000325,4.286141873,6.795585145,SNU620,Gastric Cancer,Gastric
ACH-000515,5.514753498,8.002815016,HCC33,Lung Cancer,Lung
ACH-001033,6.538538164,7.433376793,CHLA57,Bone Cancer,Bone
ACH-000919,5.159871337,7.627096085,IM95,Gastric Cancer,Gastric
ACH-000863,4.630521963,6.905808168,DBTRG05MG,Brain Cancer,Central Nervous System
ACH-000642,4.388189537,7.408626954,HMEL,Engineered,Engineered Breast
ACH-000581,4.49057013,7.110405007,SNU16,Gastric Cancer,Gastric
ACH-001050,5.553053253,7.782343034,CW9019,Sarcoma,Soft Tissue
ACH-001818,1.344828497,5.600210274,C396,Bone Cancer,Bone
ACH-001384,4.021479727,7.046141782,RO82W1,Thyroid Cancer,Thyroid
ACH-000797,3.9202933,7.3323499,HLFA,Fibroblast,Fibroblast
ACH-000220,6.854619084,7.960465374,MINO,Lymphoma,Lymphocyte
ACH-000827,5.712045449,7.549284113,WM793,Skin Cancer,Skin
ACH-000961,5.050066298,7.21451341,ISHIKAWAHERAKLIO02ER,Endometrial/Uterine Cancer,Uterus
ACH-000778,5.678353654,8.186213305,HSC3,Head and Neck Cancer,Upper Aerodigestive
ACH-000825,5.011674533,6.925168681,HOP92,Lung Cancer,Lung
ACH-000743,5.504302583,8.006241913,CORL95,Lung Cancer,Lung
ACH-000190,6.080870812,7.484621527,HDMYZ,Lymphoma,Lymphocyte
ACH-001819,4.882153917,7.234386354,MFM223,Breast Cancer,Breast
ACH-000157,6.24830712,6.785288981,A4FUK,Lymphoma,Lymphocyte
ACH-001786,4.062639828,6.636479619,SNU1544,Colon/Colorectal Cancer,Colorectal
ACH-000253,5.321928095,8.013015536,COLO201,Colon/Colorectal Cancer,Colorectal
ACH-001376,3.012568674,5.122672719,PACADD135,Pancreatic Cancer,Pancreas
ACH-000958,5.160274831,7.300215263,SW48,Colon/Colorectal Cancer,Colorectal
ACH-000228,4.408711861,6.689299161,BICR31,Head and Neck Cancer,Upper Aerodigestive
ACH-000266,4.741466986,7.265099288,SNU213,Pancreatic Cancer,Pancreas
ACH-001750,5.423578171,7.400367146,TTC442,Sarcoma,Soft Tissue
ACH-000174,5.869624686,8.146237715,CAL62,Thyroid Cancer,Thyroid
ACH-000245,5.589763487,7.972290573,BL41,Lymphoma,Lymphocyte
ACH-001279,4.477029653,6.727512087,SCCOHT1,Ovarian Cancer,Ovary
ACH-000620,5.274261661,6.905326829,JHH1,Liver Cancer,Liver
ACH-000813,5.373996142,7.813652946,T3M10,Lung Cancer,Lung
ACH-001513,3.47118746,7.011786331,HCA1,Cervical Cancer,Cervix
ACH-000168,4.609991295,7.231701199,NOMO1,Leukemia,Blood
ACH-000257,5.882153917,7.155526627,CORL279,Lung Cancer,Lung
ACH-000211,6.673839056,7.871474058,DAOY,Brain Cancer,Central Nervous System
ACH-000283,5.970623614,8.167669028,A1207,Brain Cancer,Central Nervous System
ACH-002041,3.23572706,6.506684448,HOTHC,Thyroid Cancer,Thyroid
ACH-000987,5.780835002,7.579617646,MEWO,Skin Cancer,Skin
ACH-000682,4.544732656,6.453517579,SNU1066,Head and Neck Cancer,Upper Aerodigestive
ACH-000073,6.137093609,7.540089282,GRANTA519,Lymphoma,Lymphocyte
ACH-000212,5.446587085,6.594399256,CAL120,Breast Cancer,Breast
ACH-000096,6.679761574,7.510249887,G401,Rhabdoid,Kidney
ACH-001433,4.234961095,6.444766441,CCLFPEDS0008T,Sarcoma,Soft Tissue
ACH-000063,3.764473551,7.271556403,HS616T,Fibroblast,Fibroblast
ACH-001999,3.203201156,6.484782623,9505BIK,Pancreatic Cancer,Pancreas
ACH-000776,4.422233001,6.889838551,ONS76,Brain Cancer,Central Nervous System
ACH-000521,6.395234212,7.626731151,NCIH2030,Lung Cancer,Lung
ACH-000025,5.487679279,7.897240426,CH157MN,Brain Cancer,Central Nervous System
ACH-000591,5.186659017,7.359573879,LN235,Brain Cancer,Central Nervous System
ACH-001716,5.329841177,7.870303065,GOTO,Neuroblastoma,Peripheral Nervous System
ACH-000833,5.48058827,6.330379128,RH30,Sarcoma,Soft Tissue
ACH-001628,6.02657877,6.880807948,PEA1,Ovarian Cancer,Ovary
ACH-000398,5.46139759,7.866104334,RI1,Lymphoma,Lymphocyte
ACH-000274,5.380937195,7.512542955,HS852T,Skin Cancer,Skin
ACH-001370,4.651338766,4.571069998,OCIP5X,Ovarian Cancer,Ovary
ACH-000029,6.156032499,6.732540561,HCC827GR5,Lung Cancer,Lung
ACH-001849,2.855989697,6.09592442,ICC9,Bile Duct Cancer,Bile Duct
ACH-000644,3.980939266,6.181500152,COLO829,Skin Cancer,Skin
ACH-001422,2.12763328,6.045268215,WPE1NA22,Prostate Cancer,Prostate
ACH-000588,5.13627343,8.269734494,KMS26,Myeloma,Plasma Cell
ACH-000849,5.686220365,7.567271631,MDAMB468,Breast Cancer,Breast
ACH-000219,5.056583528,7.997687581,A375,Skin Cancer,Skin
ACH-000150,4.927896454,7.051807107,HCC2935,Lung Cancer,Lung
ACH-001845,3.922197848,6.209258394,ICC5,Bile Duct Cancer,Bile Duct
ACH-000384,5.432959407,6.638942669,SW780,Bladder Cancer,Urinary Tract
ACH-001053,4.608217853,6.718498628,D425,Brain Cancer,Central Nervous System
ACH-001274,5.509062386,7.555432735,SW982,Sarcoma,Soft Tissue
ACH-000091,4.754887502,7.400879436,OV56,Ovarian Cancer,Ovary
ACH-001634,4.970393538,6.003602237,PGA1,Leukemia,Blood
ACH-000495,4.47118746,6.657354182,TUHR4TKB,Kidney Cancer,Kidney
ACH-000911,6.458283564,7.381023747,NUGC3,Gastric Cancer,Gastric
ACH-000013,5.039138394,6.455162801,ONCODG1,Ovarian Cancer,Ovary
ACH-000777,3.448900951,6.430452552,KYSE30,Esophageal Cancer,Esophagus
ACH-001765,5.940401698,7.045049741,RH4,Sarcoma,Soft Tissue
ACH-000312,5.412104045,7.824386003,SKNBE2,Neuroblastoma,Peripheral Nervous System
ACH-000085,4.916476644,7.175624397,T3M4,Pancreatic Cancer,Pancreas
ACH-000436,4.895302621,6.544114402,OCIMY7,Myeloma,Plasma Cell
ACH-000869,5.092968509,7.472244052,NCIH1568,Lung Cancer,Lung
ACH-000267,5.786073552,7.53714073,HDLM2,Lymphoma,Lymphocyte
ACH-000489,4.155425432,6.343052435,SW1116,Colon/Colorectal Cancer,Colorectal
ACH-000431,6.350143602,6.832257114,NCIH1694,Lung Cancer,Lung
ACH-000152,5.289834465,7.769573408,M059K,Brain Cancer,Central Nervous System
ACH-000909,6.252476214,8.26190686,JHUEM2,Endometrial/Uterine Cancer,Uterus
ACH-000534,5.226893814,7.07264178,WSUDLCL2,Lymphoma,Lymphocyte
ACH-000582,5.366322214,6.466137656,COLO741,Skin Cancer,Skin
ACH-000460,5.321567376,6.730368236,SNU8,Ovarian Cancer,Ovary
ACH-000443,4.705977902,5.686780635,OVKATE,Ovarian Cancer,Ovary
ACH-001570,4.661635602,6.670160514,MM426,Skin Cancer,Skin
ACH-000986,5.5055734,7.544191698,HT115,Colon/Colorectal Cancer,Colorectal
ACH-001335,4.935459748,6.930619079,C4II,Cervical Cancer,Cervix
ACH-000023,6.399854674,8.538499364,PATU8988T,Pancreatic Cancer,Pancreas
ACH-002062,5.68116812,7.746783017,SLVL,Lymphoma,Lymphocyte
ACH-002462,5.28503225,8.210963506,RPE1SS48,Engineered,Engineered
ACH-000151,6.847495884,8.3652726,JM1,Leukemia,Blood
ACH-001277,5.097189387,7.124638314,YAMATO,Sarcoma,Soft Tissue
ACH-000607,5.211401637,7.396176618,KYM1,Rhabdoid,Soft Tissue
ACH-000703,6.458939707,7.714520291,DMS79,Lung Cancer,Lung
ACH-001211,6.067810784,7.737686761,TTC549,Rhabdoid,Soft Tissue
ACH-001511,3.727920455,6.221297103,H413,Head and Neck Cancer,Upper Aerodigestive
ACH-000113,5.343407822,7.452117664,OCIAML2,Leukemia,Blood
ACH-000337,5.477677328,7.031990609,NCIH3122,Lung Cancer,Lung
ACH-000598,4.934988202,6.478324711,KMS21BM,Myeloma,Plasma Cell
ACH-000057,6.671717965,7.478081977,OPM1,Myeloma,Plasma Cell
ACH-000281,5.157852169,7.449561375,KP2,Pancreatic Cancer,Pancreas
ACH-000321,4.587964989,7.001914808,MOLM6,Leukemia,Blood
ACH-000985,5.218393711,7.871165994,LS411N,Colon/Colorectal Cancer,Colorectal
ACH-000444,6.055282436,8.351071735,LU99,Lung Cancer,Lung
ACH-000347,5.567727963,8.264348763,QGP1,Pancreatic Cancer,Pancreas
ACH-001399,5.723012396,7.142311318,SW626,Colon/Colorectal Cancer,Colorectal
ACH-001097,4.156234798,5.907131025,KARPAS384,Lymphoma,Lymphocyte
ACH-000127,5.606738317,7.848122135,SLR20,Kidney Cancer,Kidney
ACH-001961,3.874796966,6.733083132,GB2,Gallbladder Cancer,Bile Duct
ACH-001796,4.335569006,7.542490224,95T1000,Liposarcoma,Soft Tissue
ACH-000307,5.363171077,6.975217457,PK1,Pancreatic Cancer,Pancreas
ACH-001030,5.561020578,6.751142325,CHLA218,Bone Cancer,Bone
ACH-000595,6.095713484,7.613310635,LN229,Brain Cancer,Central Nervous System
ACH-001540,1.819668183,5.205157884,KMLS1,Liposarcoma,Soft Tissue
ACH-000298,5.990274183,7.582480735,NCIH2029,Lung Cancer,Lung
ACH-000771,1.952333566,5.09592442,BICR56,Head and Neck Cancer,Upper Aerodigestive
ACH-000500,5.746312766,7.618312081,SNU46,Head and Neck Cancer,Upper Aerodigestive
ACH-000353,4.997744026,6.998195503,TE15,Esophageal Cancer,Esophagus
ACH-000363,5.771885579,7.12649799,SKMM2,Myeloma,Plasma Cell
ACH-000350,4.356848079,7.290479698,COLO678,Colon/Colorectal Cancer,Colorectal
ACH-000053,5.836176625,7.173727099,KARPAS299,Lymphoma,Lymphocyte
ACH-001543,3.626439137,6.022145843,KOSC2CL343,Head and Neck Cancer,Upper Aerodigestive
ACH-000246,4.915520901,7.143944366,SLR23,Kidney Cancer,Kidney
ACH-000663,5.357552005,7.081936082,OVTOKO,Ovarian Cancer,Ovary
ACH-000346,4.675815931,7.187154091,JVM3,Leukemia,Blood
ACH-001741,5.504620392,6.629065137,RMS13,Sarcoma,Soft Tissue
ACH-000970,5.904965719,7.360803199,SNUC5,Colon/Colorectal Cancer,Colorectal
ACH-001333,5.894090171,6.531693361,C33A,Cervical Cancer,Cervix
ACH-000794,2.763411574,5.652199648,BICR22,Head and Neck Cancer,Upper Aerodigestive
ACH-000039,5.907852072,6.674121633,SKNMC,Bone Cancer,Bone
ACH-000471,4.987320866,7.543341212,LI7,Liver Cancer,Liver
ACH-000850,3.688180359,7.357376055,HS698T,Fibroblast,Fibroblast
ACH-000291,4.638073837,6.622051819,OV90,Ovarian Cancer,Ovary
ACH-001453,4.682573297,6.840966704,BPH1,Prostate Cancer,Prostate
ACH-001458,3.764473551,6.191799501,C75,Colon/Colorectal Cancer,Colorectal
ACH-000886,6.577126661,7.851811494,NCIH2009,Lung Cancer,Lung
ACH-000888,5.576219781,7.001802243,NCIH1793,Lung Cancer,Lung
ACH-000659,5.278728213,7.328585177,SCLC21H,Lung Cancer,Lung
ACH-000030,4.929790998,6.148730779,PC14,Lung Cancer,Lung
ACH-001201,4.308885057,6.819284981,SUMB002,Brain Cancer,Central Nervous System
ACH-000271,5.638363506,7.181798281,SUDHL10,Lymphoma,Lymphocyte
ACH-000549,4.453517579,6.346956889,SNU1076,Head and Neck Cancer,Upper Aerodigestive
ACH-001212,4.760753208,7.144964082,TTC642,Rhabdoid,Soft Tissue
ACH-000555,4.722466024,6.683275373,A498,Kidney Cancer,Kidney
ACH-000478,5.718087584,7.856176498,SNU387,Liver Cancer,Liver
ACH-000775,5.591559746,7.536752313,NCIH727,Lung Cancer,Lung
ACH-000038,5.057450272,6.86913112,EHEB,Lymphoma,Lymphocyte
ACH-001109,5.877989585,7.635391641,KPMRTRY,Rhabdoid,Soft Tissue
ACH-001442,5.970163425,6.208088008,A388,Skin Cancer,Epidermoid Carcinoma
ACH-000559,5.896514054,7.927126084,NCIH1836,Lung Cancer,Lung
ACH-000510,6.584812212,6.851998837,NCIH1299,Lung Cancer,Lung
ACH-002065,5.635754391,7.870056418,HSPSS,Sarcoma,Central Nervous System
ACH-000676,5.955591792,6.897119389,LN464,Brain Cancer,Central Nervous System
ACH-000844,4.595145568,8.125051783,DMS454,Lung Cancer,Lung
ACH-000925,5.075104722,7.69432306,DV90,Lung Cancer,Lung
ACH-000272,4.674121633,6.284292026,SLR24,Kidney Cancer,Kidney
ACH-001035,5.676662335,7.071891353,CHLA99,Bone Cancer,Bone
ACH-000513,4.183486514,7.674616009,SNU1272,Kidney Cancer,Kidney
ACH-001059,4.475084883,6.848372559,DL,Rhabdoid,Soft Tissue
ACH-000959,5.531693361,7.467687056,SNUC4,Colon/Colorectal Cancer,Colorectal
ACH-000169,6.341807889,8.171427027,RD,Sarcoma,Soft Tissue
ACH-001402,6.54689446,7.921126849,SW756,Cervical Cancer,Cervix
ACH-000796,5.366322214,8.022589749,MCAS,Ovarian Cancer,Ovary
ACH-000143,5.335211682,7.215096121,HCC2429,Lung Cancer,Lung
ACH-000067,5.544423562,7.145269857,HS683,Brain Cancer,Central Nervous System
ACH-000640,5.029452886,6.206330648,SKMEL31,Skin Cancer,Skin
ACH-001674,4.768713657,7.527711572,TGW,Neuroblastoma,Peripheral Nervous System
ACH-001698,3.832890014,4.839959587,UPCISCC116,Head and Neck Cancer,Upper Aerodigestive
ACH-002002,4.445594291,7.912769606,A375SKINCJ2,Skin Cancer,Skin
ACH-002011,5.578032972,5.978653265,MP46,Eye Cancer,Eye
ACH-000967,5.378511623,7.579994693,SNUC2A,Colon/Colorectal Cancer,Colorectal
ACH-000469,5.059614856,6.613089583,YH13,Brain Cancer,Central Nervous System
ACH-001353,3.596935142,5.865918815,JOPACA1,Pancreatic Cancer,Pancreas
ACH-001574,3.580145484,6.273888824,MOLM14,Leukemia,Blood
ACH-000097,4.730096466,7.028569152,ZR751,Breast Cancer,Breast
ACH-000256,5.113950482,6.099295204,COV318,Ovarian Cancer,Ovary
ACH-000977,4.216454865,6.881786959,LNCAPCLONEFGC,Prostate Cancer,Prostate
ACH-000972,5.030336078,7.345005983,HEC151,Endometrial/Uterine Cancer,Uterus
ACH-001367,5.364222221,7.861707287,NMB,Neuroblastoma,Peripheral Nervous System
ACH-000382,5.945794957,7.724445639,CORL24,Lung Cancer,Lung
ACH-000579,5.720552092,6.739173031,UACC257,Skin Cancer,Skin
ACH-001532,3.852997588,6.408202345,JMURTK2,Rhabdoid,Kidney
ACH-000695,5.529196268,7.209550842,CORL47,Lung Cancer,Lung
ACH-001795,4.788685711,7.534497434,94T778,Liposarcoma,Soft Tissue
ACH-001510,3.129283017,5.17990909,H376,Head and Neck Cancer,Upper Aerodigestive
ACH-000502,4.906890596,7.029784146,TCCPAN2,Pancreatic Cancer,Pancreas
ACH-000183,6.201241771,8.341674481,L363,Myeloma,Plasma Cell
ACH-000408,4.21490191,7.115095685,TE5,Esophageal Cancer,Esophagus
ACH-001496,5.339850003,6.036942845,ESO26,Esophageal Cancer,Esophagus
ACH-000788,5.570159302,7.749400182,A2058,Skin Cancer,Skin
ACH-001622,3.514753498,5.857483428,ONDA7,Brain Cancer,Central Nervous System
ACH-000466,5.005399988,7.053328593,SNU216,Gastric Cancer,Gastric
ACH-001560,3.295723025,6.350320435,MERO83,Lung Cancer,Lung
ACH-000005,7.807097275,7.519714872,HEL9217,Leukemia,Blood
ACH-001687,1.14404637,3.500802053,UMRC3,Kidney Cancer,Kidney
ACH-001151,5.766860144,6.917909074,OVCAR5,Ovarian Cancer,Ovary
ACH-000701,4.698774109,6.274634403,RMUGS,Ovarian Cancer,Ovary
ACH-000542,5.843983844,8.337978629,HEYA8,Ovarian Cancer,Ovary
ACH-000126,4.334139179,7.056475149,KG1C,Brain Cancer,Central Nervous System
ACH-001685,4.930264245,7.174126737,UHO1,Lymphoma,Lymphocyte
ACH-000933,4.107687869,7.193081765,SNU324,Pancreatic Cancer,Pancreas
ACH-000068,4.450881315,7.768647501,REC1,Lymphoma,Lymphocyte
ACH-000015,5.441284272,7.931978467,NCIH1581,Lung Cancer,Lung
ACH-001111,3.941106311,6.761817143,L82,Lymphoma,Lymphocyte
ACH-000487,4.236492618,7.118629666,F36P,Leukemia,Blood
ACH-000122,6.132371199,7.170926525,SUPT11,Leukemia,Blood
ACH-000288,5.61176256,6.80309785,BT549,Breast Cancer,Breast
ACH-001820,6.720552092,7.280306806,COLO824,Breast Cancer,Breast
ACH-000782,6.01658546,8.561287945,SEM,Leukemia,Blood
ACH-001632,4.055716264,4.64731451,PEO4,Ovarian Cancer,Ovary
ACH-000357,5.152183419,8.09085343,JEKO1,Lymphoma,Lymphocyte
ACH-000079,4.331991778,7.501439145,TE125T,Fibroblast,Fibroblast
ACH-001031,5.108942569,7.061668207,CHLA266,Rhabdoid,Soft Tissue
ACH-001048,5.013015536,6.666614587,COV504,Ovarian Cancer,Ovary
ACH-000453,3.678071905,6.278542382,MOLP2,Myeloma,Plasma Cell
ACH-000791,5.926948248,7.732947508,RERFLCAD1,Lung Cancer,Lung
ACH-000567,7.198199455,8.239789444,ST486,Lymphoma,Lymphocyte
ACH-001391,4.794415866,6.63284983,SUM159PT,Breast Cancer,Breast
ACH-001075,4.985044962,7.371123201,NCIH292,Lung Cancer,Lung
ACH-000105,7.188638295,8.2277122,ALLSIL,Leukemia,Blood
ACH-000557,5.253611152,7.331006484,AML193,Leukemia,Blood
ACH-000175,4.464014725,7.038699551,TE159T,Fibroblast,Fibroblast
ACH-001356,5.836176625,8.184329891,MB1,Thyroid Cancer,Thyroid
ACH-001844,4.860962798,5.929790998,ICC4,Bile Duct Cancer,Bile Duct
ACH-001346,4.804776378,6.420718183,H103,Head and Neck Cancer,Upper Aerodigestive
ACH-000885,5.112700133,7.693765712,TOV21G,Ovarian Cancer,Ovary
ACH-000900,6.427941333,7.027242536,NCIH23,Lung Cancer,Lung
ACH-000666,5.576522138,7.46139759,NCIH1355,Lung Cancer,Lung
ACH-000217,4.939226578,8.09934781,JHH6,Liver Cancer,Liver
ACH-000872,4.621172753,7.205353411,HCC515,Lung Cancer,Lung
ACH-001638,2.570462931,6.627898616,RCK8,Lymphoma,Lymphocyte
ACH-001228,5.176721693,6.970853654,UPCISCC152,Head and Neck Cancer,Upper Aerodigestive
ACH-000181,4.75595577,6.530601415,SCC9,Head and Neck Cancer,Upper Aerodigestive
ACH-000115,5.257387843,6.887890772,VCAP,Prostate Cancer,Prostate
ACH-000130,6.402585758,8.895575282,NALM19,Leukemia,Blood
ACH-000121,5.663913842,7.355351096,NCIH2405,Lung Cancer,Lung
ACH-001711,4.843481425,6.835039799,PFSK1,Brain Cancer,Central Nervous System
ACH-000934,4.489286023,7.699884729,MDAMB361,Breast Cancer,Breast
ACH-000996,5.336640446,7.122051448,HEC251,Endometrial/Uterine Cancer,Uterus
ACH-001529,4.564378169,6.365622556,JAR,Endometrial/Uterine Cancer,Uterus
ACH-001743,5.083213368,6.530289278,RC2,Sarcoma,Soft Tissue
ACH-000320,4.808899839,8.254745198,PSN1,Pancreatic Cancer,Pancreas
ACH-000505,6.277798821,8.289696163,RKN,Sarcoma,Soft Tissue
ACH-000781,6.152183419,7.529274368,NCIH2023,Lung Cancer,Lung
ACH-000059,6.764871591,8.269641001,SUPB15,Leukemia,Blood
ACH-000920,4.688180359,8.375300136,CMLT1,Leukemia,Blood
ACH-000294,5.960233672,7.862575371,NB4,Leukemia,Blood
ACH-000422,5.269781238,6.74348804,SNU475,Liver Cancer,Liver
ACH-000200,5.660780334,7.685940148,NMCG1,Brain Cancer,Central Nervous System
ACH-000046,6.089371028,7.507873907,ACHN,Kidney Cancer,Kidney
ACH-000968,4.388189537,6.226893814,COLO792,Skin Cancer,Skin
ACH-000830,5.988684687,9.449024804,NCIH1436,Lung Cancer,Lung
ACH-000114,4.152183419,5.839455765,SU8686,Pancreatic Cancer,Pancreas
ACH-000402,4.740387932,7.958436715,BL70,Lymphoma,Lymphocyte
ACH-000036,4.058316496,7.046141782,U343,Brain Cancer,Central Nervous System
ACH-000973,6.558420713,8.518771163,639V,Bladder Cancer,Urinary Tract
ACH-001128,5.070818638,7.353323291,MON,Rhabdoid,Soft Tissue
ACH-000750,5.86913112,7.795844856,LOXIMVI,Skin Cancer,Skin
ACH-000285,7.443026407,8.252712733,TOLEDO,Lymphoma,Lymphocyte
ACH-001858,4.811984719,7.166715445,SSP25,Bile Duct Cancer,Bile Duct
ACH-001997,4.395748328,6.904604518,ECC2,Bile Duct Cancer,Bile Duct
ACH-000052,5.762880293,7.520186495,A673,Bone Cancer,Bone
