DepMap ID,BUB1_expression,BUB3_expression,Cell Line Name,Primary Disease,Lineage
ACH-001694,2.025028794,6.024807233,UPCISCC074,Head and Neck Cancer,Upper Aerodigestive
ACH-001542,4.566206293,6.451870479,KON,Head and Neck Cancer,Upper Aerodigestive
ACH-002509,4.264536431,6.307064162,WM4235,Skin Cancer,Skin
ACH-000438,5.160678213,7.890081838,LU65,Lung Cancer,Lung
ACH-001366,4.743084056,5.892633883,NGP,Neuroblastoma,Peripheral Nervous System
ACH-000532,5.147306699,7.456559766,SNU61,Colon/Colorectal Cancer,Colorectal
ACH-000653,6.386121157,7.413712542,JJN3,Myeloma,Plasma Cell
ACH-000839,4.951401292,6.736334277,SCABER,Bladder Cancer,Urinary Tract
ACH-000673,5.174326515,7.709221698,LN443,Brain Cancer,Central Nervous System
ACH-001524,2.039138394,6.148324042,HSC5,Skin Cancer,Skin
ACH-000069,6.070174625,7.835355674,HS611T,Lymphoma,Lymphocyte
ACH-000323,5.614120869,8.144352339,42MGBA,Brain Cancer,Central Nervous System
ACH-000021,5.043081982,7.548975993,NCIH1693,Lung Cancer,Lung
ACH-001863,5.942983598,6.142617655,TKKK,Bile Duct Cancer,Bile Duct
ACH-000980,6.122051448,8.499008722,NCIH1155,Lung Cancer,Lung
ACH-000106,4.837943242,6.675815931,JVM2,Lymphoma,Lymphocyte
ACH-000734,4.904484098,7.168521699,JHH5,Liver Cancer,Liver
ACH-000845,6.091065078,7.866846175,NCIH1373,Lung Cancer,Lung
ACH-000730,5.075104722,7.009884589,SKMEL5,Skin Cancer,Skin
ACH-001334,5.428276414,6.957566416,C4I,Cervical Cancer,Cervix
ACH-000698,6.095713484,7.154311811,DMS53,Lung Cancer,Lung
ACH-000802,4.64731451,7.28503225,BFTC905,Bladder Cancer,Urinary Tract
ACH-001836,4.944389962,7.828961552,ICC108,Bile Duct Cancer,Bile Duct
ACH-000573,5.578334949,7.140267406,MDAMB436,Breast Cancer,Breast
ACH-001699,4.3305584,6.05115455,UPCISCC131,Head and Neck Cancer,Upper Aerodigestive
ACH-000963,5.709842019,7.896211291,CCK81,Colon/Colorectal Cancer,Colorectal
ACH-001567,5.23610989,6.296824459,MM383,Skin Cancer,Skin
ACH-001653,3.124328135,6.597084173,SKGT2,Gastric Cancer,Gastric
ACH-000852,5.755154643,8.152639768,NCIH1435,Lung Cancer,Lung
ACH-001862,4.289096702,7.335569006,TGBC52TKB,Bile Duct Cancer,Bile Duct
ACH-000661,5.978424465,7.050284014,WM1799,Skin Cancer,Skin
ACH-001500,6.121844298,7.783653086,FLO1,Esophageal Cancer,Esophagus
ACH-001190,5.491532462,7.436211821,SKMEL2,Skin Cancer,Skin
ACH-002467,4.85698569,8.014187891,RPE1SS51,Engineered,Engineered
ACH-000364,6.346779643,7.566891244,U2OS,Bone Cancer,Bone
ACH-000448,4.121844298,7.088205214,NCIH1666,Lung Cancer,Lung
ACH-000932,5.46760555,7.833902077,SNU1,Gastric Cancer,Gastric
ACH-000783,4.791293149,7.416333089,CAMA1,Breast Cancer,Breast
ACH-002044,5.411765185,7.68769061,HSQ89,Head and Neck Cancer,Upper Aerodigestive
