Species,mass_gm,Cell_type,volume_fl,Source
Macaca arctoides,5000.00,erythrocytes,76.00,"[Hawkey, 1975]"
Macaca mulatta,5000.00,erythrocytes,76.90,"[Hawkey, 1975]"
Vulpes vulpes,5360.67,erythrocytes,57.00,"[Hawkey, 1975]"
Procyon lotor,5525.00,erythrocytes,60.00,"[Hawkey, 1975]"
Speothos venaticus,6000.00,erythrocytes,85.20,"[Hawkey, 1975]"
Macaca silenus,6500.00,erythrocytes,78.70,"[Hawkey, 1975]"
Myocastor coypu,6937.00,erythrocytes,117.00,"[Hawkey, 1975]"
Macaca assamensis,7000.00,erythrocytes,75.50,"[Hawkey, 1975]"
Macaca maurus,7000.00,erythrocytes,76.10,"[Hawkey, 1975]"
Lagothrix lagothrica,7000.00,erythrocytes,81.20,"[Hawkey, 1975]"
Erythrocebus patas,7270.00,erythrocytes,83.90,"[Hawkey, 1975]"
Cercocebus torquatus,7750.00,erythrocytes,90.00,"[Hawkey, 1975]"
Ateles paniscus,7900.00,erythrocytes,78.80,"[Hawkey, 1975]"
Macaca nemestrina,8000.00,erythrocytes,79.30,"[Hawkey, 1975]"
Canis aureus,11000.00,erythrocytes,77.80,"[Hawkey, 1975]"
Macaca sylvanus,11200.00,erythrocytes,81.50,"[Hawkey, 1975]"
Canis latrans,13406.00,erythrocytes,78.60,"[Hawkey, 1975]"
Mandrillus leucophaeus,15000.00,erythrocytes,88.50,"[Hawkey, 1975]"
Theropithecus gelada,17050.00,erythrocytes,85.70,"[Hawkey, 1975]"
Mandrillus sphinx,18250.00,erythrocytes,87.70,"[Hawkey, 1975]"
Papio hamadryas,21250.00,erythrocytes,91.10,"[Hawkey, 1975]"
Lycaon pictus,22050.00,erythrocytes,68.20,"[Hawkey, 1975]"
Canis lupus,22537.50,erythrocytes,71.50,"[Hawkey, 1975]"
Vombatus ursinus,26000.00,erythrocytes,74.00,"[Hawkey, 1975]"
Pan troglodytes,45000.00,erythrocytes,87.80,"[Hawkey, 1975]"
Hyaena hyaena,46000.00,erythrocytes,60.80,"[Hawkey, 1975]"
Panthera pardus,55000.00,erythrocytes,48.00,"[Hawkey, 1975]"
Hydrochaeris hydrochaeris,62450.00,erythrocytes,113.50,"[Hawkey, 1975]"
Zalophus californianus,75000.00,erythrocytes,102.70,"[Hawkey, 1975]"
Ursus americanus,99949.00,erythrocytes,56.00,"[Hawkey, 1975]"
Panthera onca,100000.00,erythrocytes,55.00,"[Hawkey, 1975]"
Phoca vitulina,100000.00,erythrocytes,107.60,"[Hawkey, 1975]"
Gorilla gorilla,124251.00,erythrocytes,87.70,"[Hawkey, 1975]"
Ursus arctos,139441.00,erythrocytes,68.30,"[Hawkey, 1975]"
Tremarctos ornatus,140001.00,erythrocytes,47.90,"[Hawkey, 1975]"
Tapirus terrestris,207501.00,erythrocytes,50.50,"[Hawkey, 1975]"
Equus asinus,244999.50,erythrocytes,61.80,"[Hawkey, 1975]"
Equus caballus,250000.00,erythrocytes,51.90,"[Hawkey, 1975]"
Equus zebra,286999.00,erythrocytes,46.10,"[Hawkey, 1975]"
Equus grevyi,408000.00,erythrocytes,51.00,"[Hawkey, 1975]"
Diceros bicornis,1180511.00,erythrocytes,69.20,"[Hawkey, 1975]"
Elephas maximus,2000000.00,erythrocytes,125.00,"[Hawkey, 1975]"
Loxodonta africana,3940034.00,erythrocytes,128.00,"[Hawkey, 1975]"
Mus musculus,40.00,fibroblasts,83.25,"[Morgado, 1990]"
Mesocricetus auratus,135.00,fibroblasts,157.28,"[Morgado, 1990]"
Mesocricetus auratus,168.00,fibroblasts,161.19,"[Morgado, 1990]"
Rattus norvegicus,189.00,fibroblasts,130.15,"[Morgado, 1990]"
Rattus norvegicus,200.00,fibroblasts,127.71,"[Morgado, 1990]"
Felis catus,2700.00,fibroblasts,166.74,"[Morgado, 1990]"
Canis familiaris,5300.00,fibroblasts,145.16,"[Morgado, 1990]"
Ovis aries,12000.00,fibroblasts,138.11,"[Morgado, 1990]"
Sus scrofa,120000.00,fibroblasts,97.38,"[Morgado, 1990]"
